,aqi,city,code,indicator,level,time
191,54,南阳市,411300,颗粒物(PM10),良,2018-06-15 22:00:00
192,74,商丘市,411400,颗粒物(PM10),良,2018-06-15 22:00:00
193,73,信阳市,411500,臭氧1小时,良,2018-06-15 22:00:00
194,64,周口市,411600,颗粒物(PM10),良,2018-06-15 22:00:00
195,78,驻马店市,411700,颗粒物(PM10),良,2018-06-15 22:00:00
196,70,武汉市,420100,颗粒物(PM10),良,2018-06-15 22:00:00
197,70,黄石市,420200,臭氧1小时,良,2018-06-15 22:00:00
198,50,十堰市,420300,,优,2018-06-15 22:00:00
199,73,宜昌市,420500,颗粒物(PM10),良,2018-06-15 22:00:00
200,71,襄阳市,420600,颗粒物(PM10),良,2018-06-15 22:00:00
201,63,鄂州市,420700,颗粒物(PM10),良,2018-06-15 22:00:00
202,70,荆门市,420800,颗粒物(PM10),良,2018-06-15 22:00:00
203,61,孝感市,420900,颗粒物(PM10),良,2018-06-15 22:00:00
204,64,荆州市,421000,颗粒物(PM10),良,2018-06-15 22:00:00
205,68,黄冈市,421100,颗粒物(PM10),良,2018-06-15 22:00:00
206,77,咸宁市,421200,颗粒物(PM10),良,2018-06-15 22:00:00
207,46,随州市,421300,,优,2018-06-15 22:00:00
208,61,恩施州,422800,颗粒物(PM10),良,2018-06-15 22:00:00
209,64,长沙市,430100,颗粒物(PM10),良,2018-06-15 22:00:00
210,72,株洲市,430200,细颗粒物(PM2.5),良,2018-06-15 22:00:00
211,60,湘潭市,430300,颗粒物(PM10),良,2018-06-15 22:00:00
212,75,衡阳市,430400,"颗粒物(PM10),细颗粒物(PM2.5)",良,2018-06-15 22:00:00
213,79,邵阳市,430500,细颗粒物(PM2.5),良,2018-06-15 22:00:00
214,61,岳阳市,430600,颗粒物(PM10),良,2018-06-15 22:00:00
215,67,常德市,430700,颗粒物(PM10),良,2018-06-15 22:00:00
216,72,张家界市,430800,颗粒物(PM10),良,2018-06-15 22:00:00
217,61,益阳市,430900,颗粒物(PM10),良,2018-06-15 22:00:00
218,63,郴州市,431000,"颗粒物(PM10),细颗粒物(PM2.5)",良,2018-06-15 22:00:00
219,94,永州市,431100,细颗粒物(PM2.5),良,2018-06-15 22:00:00
220,62,怀化市,431200,颗粒物(PM10),良,2018-06-15 22:00:00
221,70,娄底市,431300,细颗粒物(PM2.5),良,2018-06-15 22:00:00
222,58,湘西州,433100,颗粒物(PM10),良,2018-06-15 22:00:00
223,40,广州市,440100,,优,2018-06-15 22:00:00
224,62,韶关市,440200,颗粒物(PM10),良,2018-06-15 22:00:00
225,33,深圳市,440300,,优,2018-06-15 22:00:00
226,31,珠海市,440400,,优,2018-06-15 22:00:00
227,35,汕头市,440500,,优,2018-06-15 22:00:00
228,50,佛山市,440600,,优,2018-06-15 22:00:00
229,57,江门市,440700,颗粒物(PM10),良,2018-06-15 22:00:00
230,46,湛江市,440800,,优,2018-06-15 22:00:00
231,45,茂名市,440900,,优,2018-06-15 22:00:00
232,66,肇庆市,441200,颗粒物(PM10),良,2018-06-15 22:00:00
233,31,惠州市,441300,,优,2018-06-15 22:00:00
234,26,梅州市,441400,,优,2018-06-15 22:00:00
235,21,汕尾市,441500,,优,2018-06-15 22:00:00
236,20,河源市,441600,,优,2018-06-15 22:00:00
237,70,阳江市,441700,臭氧1小时,良,2018-06-15 22:00:00
